t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
2.066,0.721095,0.9,0.720285,0.900114,0.686333,0.934537,-0.0022904,0.00214268,-3.33157e-07,5.2049e-08,0.00168196,7.93305e-05,0.000426482,4.54227e+06,0
2.086,0.731093,0.9,0.730675,0.900109,0.696724,0.934513,-0.00104117,0.00217399,-4.02327e-07,6.22003e-08,0.00168366,8.37636e-05,0.00042851,4.54227e+06,0
2.106,0.741089,0.9,0.741523,0.900107,0.707571,0.934501,-0.00171785,0.00220791,-4.35968e-07,6.7042e-08,0.00168553,8.84138e-05,0.000430539,4.54227e+06,0
2.126,0.751085,0.9,0.751673,0.900098,0.711209,0.936009,-0.00226482,0.00210686,-4.38674e-07,7.03834e-08,0.00160962,8.76435e-05,0.00042713,4.24147e+06,0
2.146,0.76108,0.9,0.761486,0.900085,0.721022,0.935987,-0.00272091,0.00213502,-4.99716e-07,7.98785e-08,0.00161138,9.18369e-05,0.000429161,4.24147e+06,0
2.166,0.771075,0.9,0.771544,0.900069,0.731081,0.935959,-0.00260083,0.0021645,-5.76483e-07,9.16266e-08,0.00161327,9.61558e-05,0.000431193,4.24147e+06,0
2.186,0.781069,0.9,0.781374,0.900059,0.74091,0.935934,-0.0016754,0.00219274,-6.46481e-07,1.02653e-07,0.0016152,0.000100397,0.000433226,4.24147e+06,0
2.206,0.791062,0.9,0.790877,0.900059,0.750414,0.935918,-0.000597316,0.00221929,-6.8831e-07,1.09555e-07,0.00161715,0.000104516,0.000435261,4.24147e+06,0
2.226,0.801056,0.9,0.800718,0.90007,0.760673,0.937203,0.000496008,0.00211526,-6.37748e-07,1.06652e-07,0.00154743,0.000102905,0.000431658,3.12293e+06,0
2.246,0.811051,0.9,0.810555,0.900084,0.77051,0.937208,-0.000124274,0.00214355,-6.23191e-07,1.04549e-07,0.0015495,0.000107153,0.000433695,3.12293e+06,0
2.266,0.821046,0.9,0.820587,0.900096,0.780542,0.937207,0.000121154,0.00217288,-6.25649e-07,1.05093e-07,0.00155169,0.000111507,0.000435732,3.12293e+06,0
2.286,0.831043,0.9,0.830096,0.900109,0.790051,0.937208,9.77356e-05,0.00219945,-6.21564e-07,1.04594e-07,0.00155385,0.000115654,0.000437771,3.12293e+06,0
2.306,0.84104,0.9,0.840106,0.900126,0.80006,0.937209,0.000745856,0.00222866,-6.17779e-07,1.04169e-07,0.00155621,0.000120039,0.000439811,3.12293e+06,0
2.326,0.851038,0.9,0.850638,0.900151,0.812473,0.938068,0.0012864,0.00212735,-5.37367e-07,9.59412e-08,0.00149203,0.000118078,0.000436009,2.70353e+06,0
2.346,0.861036,0.9,0.860707,0.900177,0.822542,0.938081,0.00113069,0.00215689,-4.99996e-07,9.02965e-08,0.00149445,0.000122471,0.000438051,2.70353e+06,0
2.366,0.871034,0.9,0.871456,0.900205,0.833291,0.938093,0.00130159,0.00219023,-4.62867e-07,8.49749e-08,0.00149714,0.000127184,0.000440095,2.70353e+06,0
2.386,0.881033,0.9,0.881581,0.900227,0.843416,0.938107,0.000282708,0.00222007,-4.24904e-07,7.91772e-08,0.00149976,0.000131644,0.000442139,2.70353e+06,0
2.406,0.891032,0.9,0.891515,0.900242,0.85335,0.938109,-0.000168914,0.00224888,-4.16356e-07,7.79376e-08,0.00150242,0.00013604,0.000444185,2.70353e+06,0
2.426,0.901031,0.9,0.900811,0.90025,0.864178,0.938694,-0.000920665,0.00213858,-3.82346e-07,7.50407e-08,0.00144253,0.000132885,0.00044017,2.51977e+06,0
2.446,0.91103,0.9,0.911545,0.900252,0.874912,0.938684,-0.00181505,0.00217184,-4.10801e-07,7.93929e-08,0.00144543,0.000137614,0.000442218,2.51977e+06,0
2.466,0.921029,0.9,0.922236,0.900248,0.885603,0.938665,-0.00207446,0.00220485,-4.67106e-07,8.79767e-08,0.00144843,0.000142346,0.000444267,2.51977e+06,0
2.486,0.931029,0.9,0.932085,0.900246,0.895452,0.938644,-0.00152885,0.0022332,-5.22054e-07,9.7057e-08,0.00145127,0.000146727,0.000446317,2.51977e+06,0
2.506,0.941029,0.9,0.942178,0.900245,0.905544,0.938629,-0.00169028,0.00226287,-5.64089e-07,1.03947e-07,0.00145428,0.000151236,0.000448369,2.51977e+06,0
2.526,0.951028,0.9,0.952318,0.900247,0.918104,0.939092,-0.00117258,0.00215537,-5.61395e-07,1.06981e-07,0.00139862,0.000147857,0.000444138,2.3084e+06,0
2.546,0.961028,0.9,0.962279,0.90025,0.928065,0.93908,-0.00167743,0.00218432,-5.92495e-07,1.12172e-07,0.00140161,0.000152286,0.000446192,2.3084e+06,0
2.566,0.971028,0.9,0.971834,0.900252,0.93762,0.939064,-0.00140415,0.00221113,-6.33879e-07,1.19328e-07,0.00140456,0.000156555,0.000448247,2.3084e+06,0
2.586,0.981028,0.9,0.982205,0.900257,0.947991,0.93905,-0.00107318,0.00224232,-6.74099e-07,1.25861e-07,0.00140786,0.00016121,0.000450303,2.3084e+06,0
2.606,0.991027,0.9,0.992226,0.900262,0.958012,0.939039,-0.0014,0.00227159,-7.0247e-07,1.30709e-07,0.00141114,0.000165728,0.000452361,2.3084e+06,0
2.626,1.00103,0.9,1.00281,0.900265,0.9686,0.939024,-0.00157234,0.00230402,-7.43953e-07,1.3742e-07,0.0014147,0.000170525,0.00045442,2.3084e+06,0
2.646,1.01103,0.9,1.01267,0.900267,0.980502,0.939416,-0.00165191,0.00219008,-7.17851e-07,1.3838e-07,0.00136221,0.000166221,0.000449877,2.1573e+06,0
2.666,1.02103,0.9,1.02301,0.900276,0.990848,0.939399,-0.000442567,0.00222113,-7.648e-07,1.46075e-07,0.0013657,0.000170882,0.000451938,2.1573e+06,0
2.686,1.03103,0.9,1.03353,0.900288,1.00137,0.939395,-0.0011847,0.00225317,-7.76624e-07,1.48186e-07,0.00136934,0.000175643,0.000454,2.1573e+06,0
2.706,1.04103,0.9,1.04423,0.900301,1.01207,0.939382,-0.000360127,0.00228622,-8.11903e-07,1.53946e-07,0.00137315,0.000180507,0.000456064,2.1573e+06,0
2.726,1.05103,0.9,1.05395,0.900315,1.02445,0.939619,-0.000790044,0.00217371,-7.47934e-07,1.48963e-07,0.00132384,0.000175838,0.000451389,2.00807e+06,0
2.746,1.06103,0.9,1.06442,0.900333,1.03492,0.939611,-0.000243807,0.00220545,-7.69961e-07,1.52703e-07,0.00132757,0.000180571,0.000453455,2.00807e+06,0
2.766,1.07103,0.9,1.07439,0.900354,1.04489,0.939608,0.000266825,0.00223447,-7.75062e-07,1.53813e-07,0.00133122,0.000185101,0.000455522,2.00807e+06,0
2.786,1.08103,0.9,1.08411,0.900383,1.05461,0.939611,0.00132434,0.00226214,-7.66675e-07,1.52639e-07,0.00133486,0.000189537,0.000457591,2.00807e+06,0
2.806,1.09103,0.9,1.09424,0.900414,1.06474,0.939624,0.000472371,0.00229198,-7.28218e-07,1.4651e-07,0.00133874,0.000194179,0.000459661,2.00807e+06,0
2.826,1.10103,0.9,1.10426,0.900433,1.07729,0.939643,-0.00137897,0.00218043,-6.51409e-07,1.38308e-07,0.00129218,0.000189154,0.000454762,1.82227e+06,0
2.846,1.11103,0.9,1.1145,0.900436,1.08753,0.939629,-0.00282985,0.00221088,-6.89248e-07,1.44733e-07,0.0012961,0.000193818,0.000456834,1.82227e+06,0
2.866,1.12103,0.9,1.12427,0.900433,1.0973,0.939601,-0.00257053,0.00223882,-7.61415e-07,1.57374e-07,0.00129994,0.000198291,0.000458908,1.82227e+06,0
2.886,1.13103,0.9,1.13438,0.900433,1.10741,0.939575,-0.00239958,0.00226856,-8.31016e-07,1.69306e-07,0.00130399,0.00020294,0.000460983,1.82227e+06,0
2.906,1.14103,0.9,1.14478,0.900432,1.11781,0.93955,-0.00249208,0.00229992,-8.99321e-07,1.8082e-07,0.00130826,0.000207744,0.00046306,1.82227e+06,0
2.926,1.15103,0.9,1.15445,0.900437,1.12985,0.939377,-0.00165094,0.00218552,-8.8128e-07,1.84098e-07,0.00126386,0.000202068,0.000457932,1.63887e+06,0
